Key,ptBR
Bonus_ObjectiveMultiplier,x{0} de Conclusão de Objetivo
Bonus_RadHealingBoost,x{0} de Velocidade de Cura de Rad
Bonus_Resistance,{0}% de Resistência a Dano
Bonus_StimpackBoost,Cura com Stimpak
Bonus_SurvivalGuide_AddMaxHP,Saúde
Bonus_SurvivalGuide_CheaperCrafting,Custo de Fabricação
Bonus_SurvivalGuide_ChildMultiplier,Chance de Gêmeos
Bonus_SurvivalGuide_ChildSpecialBoost,S.P.E.C.I.A.L. da Criança
Bonus_SurvivalGuide_DamageBoost,Dano
Bonus_SurvivalGuide_FasterAndCheaperCrafting,Tempo e Custo de Fabricação
Bonus_SurvivalGuide_FasterCrafting,Tempo de Fabricação
Bonus_SurvivalGuide_FasterPregnancy,Tempo de Gravidez
Bonus_SurvivalGuide_FasterWastelandReturnSpeed,Velocidade de Retorno do Wasteland
Bonus_SurvivalGuide_HappinessBoost,Felicidade
Bonus_SurvivalGuide_HealingBoost,Velocidade de Cura
Bonus_SurvivalGuide_MysteriousMagnet,Chance do Estranho
Bonus_SurvivalGuide_ObjectiveMultiplier,Conclusão de Objetivo
Bonus_SurvivalGuide_RadHealingBoost,Velocidade de Cura de Rad
Bonus_SurvivalGuide_Resistance,Resistência a Dano
Bonus_SurvivalGuide_StimpackBoost,Cura com Stimpak
Bonus_SurvivalGuide_TrainingBoost,Tempo de Treinamento
Bonus_SurvivalGuide_TrainingNonStopBoost,Tempo de Treinamento (Contínuo)
Bonus_SurvivalGuide_WastelandCapsBoost,Caps do Wasteland
Bonus_SurvivalGuide_WastelandItemBoost,Armas e Trajes do Wasteland
Bonus_SurvivalGuide_WastelandJunkBoost,Sucata do Wasteland
Bonus_SurvivalGuide_XPBoost,XP
Bonus_TrainingBoost,-{0}% de Tempo de Treinamento
Bonus_TrainingNonStopBoost,-{0}% de Tempo de Treinamento (Contínuo)
Bonus_WastelandCapsBoost,+{0}% de Caps do Wasteland
Bonus_WastelandItemBoost,+{0}% de Armas e Trajes do Wasteland
Bonus_WastelandJunkBoost,+{0}% de Sucata do Wasteland
Bonus_XPBoost,+{0}% de XP
BottleAndCappyArrivalInVault,BOTTLE & CAPPY!
Building_Room,Construindo...
BuildOption_APNeeded,CAPS INSUFICIENTES
BuildOption_Build,CONSTRUIR
Button_Accept,ACEITAR
Button_Advance,AVANÇAR
Button_BeginQuest,INICIAR MISSÃO
Button_Build,CONSTRUIR
Button_Buy,COMPRAR
Button_BuyMore,COMPRAR MAIS
Button_BuyMore_Switch,ABRIR LOJA
Button_BuyPack,COMPRAR PACOTE
Button_BuyPack_Switch,ABRIR ESHOP
Button_Cancel,CANCELAR
Button_Confirm,CONFIRMAR
Button_Continue,CONTINUAR
Button_Crafting,FABRICAR
Button_Customize,PERSONALIZAR
Button_Dismiss,FECHAR
Button_DoNotShowAgain,NÃO MOSTRAR NOVAMENTE
Button_Enter,ENTRAR!
Button_Evict,EXPULSAR
Button_GotIt,ENTENDIDO
Button_Ignore,IGNORAR
Button_Instant,INSTANTÂNEO
Button_Job,TRABALHO
Button_No,NÃO
Button_NotNow,AGORA NÃO
Button_Ok,OK
Button_QuantumComplete,COMPLETO
Button_QuantumFinish,CONCLUIR
Button_QuantumSkip,CHEGAR AGORA
Button_QuestList,LISTA DE MISSÕES
Button_Random,ALEATÓRIO
Button_ReloadLater,RECARREGAR DEPOIS
Button_ReloadNow,RECARREGAR AGORA
Button_Reset,REDEFINIR
Button_Sell,VENDER
Button_Skip,PULAR
Button_Sort,Ordenar
Button_StartNow,COMEÇAR AGORA
Button_StartQuest,INICIAR MISSÃO
Button_Status,STATUS
Button_Watch,ASSISTIR
Button_Yes,SIM
Button_Spin,GIRAR
CameraSensitivity,SENS. CÂMERA
Casino_Upgrade_Info,Aumenta a velocidade de treinamento de Sorte
Claim,RESGATAR
Claim_Exclamation,Resgatar!
Classroom_Upgrade_Info,Aumenta a velocidade de treinamento de Inteligência
cloud_newer,MAIS RECENTE
CloudActionImport,IMPORTAR
CloudActionKeep,MANTER
CloudActionNewVault,NOVO VAULT
CloudActivationFailed,Ocorreu um erro durante a ativação na nuvem. Verifique as configurações de nuvem ou tente novamente mais tarde.
CloudConflictDescription,Qual salvamento você quer manter?
CloudFailedVersionMismatch,Seu salvamento na nuvem é de uma versão mais recente do Fallout Shelter. Atualize o jogo e tente novamente.
CloudSaveConfirmMessage,Tem certeza que deseja manter o salvamento na nuvem?
CodeOfConduct_ButtonText,CÓDIGO DE CONDUTA
CodeOfConduct_Legal_Link,https://documents.bethesda.net/en/code-of-conduct
Completed,CONCLUÍDO
Controls_Button,CONTROLES
Controls_Switch_Vault_ResetCamera_Switch,Redefinir Câmera (Pressionar)
Controls_Switch_Vault_Resources_Switch,Recursos (Pressionar)
Controls_Title,CONTROLES
Controls_Xbox_Footer_Collect,COLETAR
Controls_Xbox_Footer_Filter,FILTRAR
Controls_Xbox_Footer_FilterSpecial,FILTRAR / ALTERAR ORDENAÇÃO S.P.E.C.I.A.L.
Controls_Xbox_Footer_Rename,RENOMEAR
Controls_Xbox_Footer_ReverseOrder,INVERTER ORDEM
Controls_Xbox_Footer_Special,ALTERAR ORDENAÇÃO S.P.E.C.I.A.L.
Controls_Xbox_Quest_Collect,Coletar
Controls_Xbox_Quest_CriticalHit,Golpe Crítico (Segurar)
Controls_Xbox_Quest_MoveCamera,Mover Câmera
Controls_Xbox_Quest_MoveCursor,Mover Cursor
Controls_Xbox_Quest_MoveToRoom,Ir para a Sala
Controls_Xbox_Quest_PipBoy,Pip-Boy
Controls_Xbox_Quest_QuestObjectives,Objetivos da Missão
Controls_Xbox_Quest_SelectDweller,Selecionar Dweller
Controls_Xbox_Quest_Settings,Configurações
Controls_Xbox_Quest_Target,Mirar Inimigo (Segurar)
Controls_Xbox_Quest_ZoomIn,Ampliar
Controls_Xbox_Quest_ZoomOut,Reduzir
Controls_Xbox_Vault_Build,Construir
Controls_Xbox_Vault_Clipboard,Área de Transferência
Controls_Xbox_Vault_DwellerList,Lista de Dwellers
Controls_Xbox_Vault_GrabDweller,Pegar Dweller (Segurar)
Controls_Xbox_Vault_HappinessBonus,Bônus de Felicidade
Controls_Xbox_Vault_MoveCamera,Mover Câmera
Controls_Xbox_Vault_MoveCursor,Mover Cursor
Controls_Xbox_Vault_NCQ,Nuka-Cola Quantum
Controls_Xbox_Vault_PipBoy,Pip-Boy
Controls_Xbox_Vault_ResetCamera,Redefinir Câmera (Clique)
Controls_Xbox_Vault_ResetCamera_Switch,Redefinir Câmera (Pressionar)
Controls_Xbox_Vault_Resources,Recursos (Clique)
Controls_Xbox_Vault_Resources_Switch,Recursos (Pressionar)
Controls_Xbox_Vault_RoomAction,Ação de Sala
Controls_Xbox_Vault_Screenshot,Captura de Tela
Controls_Xbox_Vault_SelectDweller,Selecionar Dweller
Controls_Xbox_Vault_Settings,Configurações
Controls_Xbox_Vault_SurpriseQuest,Explorar Local do Wasteland
Controls_Xbox_Vault_Upgrade,Melhorar Sala
Controls_Xbox_Vault_Wasteland,Wasteland
Controls_Xbox_Vault_ZoomIn,Ampliar
Controls_Xbox_Vault_ZoomOut,Reduzir
Crafting_Cancel_Confirmation,"A Sucata usada será totalmente reembolsada, mas apenas parte dos Caps gastos. Tem certeza?"
Crafting_Cancel_Ultracite_Confirmation,"O Ultracite usado será totalmente reembolsado, mas apenas parte dos Caps gastos. Tem certeza?"
Crafting_Cost,CUSTO
Crafting_Crafted,FABRICADO!
Crafting_FragmentsCounter,{0}/{1} FRAGMENTOS DE RECEITA ENCONTRADOS
Crafting_FreeJunk_Main1,AQUI ESTÃO ALGUMAS RECEITAS E SUCATA PARA FAZER UMA ARMA E UM TRAJE QUE SÓ PODEM SER OBTIDOS ATRAVÉS DA FABRICAÇÃO.
Crafting_FreeJunk_Main2,"MUITOS OUTROS ITENS NÃO PODEM SER ENCONTRADOS, APENAS FABRICADOS. AO ESCOLHER O QUE FABRICAR, ELES SÃO MARCADOS PELO ÍCONE DE FABRICAÇÃO."
Crafting_FreeJunk_Title,É HORA DE COMEÇAR A FABRICAR!
Crafting_InProgress,FABRICAÇÃO EM ANDAMENTO
Crafting_Junk_Required,RECEITA NECESSÁRIA
Crafting_Start_Confirmation,Fabricar {0}?
Crafting_Time,TEMPO
DangerousPermission_WriteExternal,O Fallout Shelter requer o uso de mídia e arquivos para baixar dados adicionais do jogo e melhorar a experiência do usuário.
Deathclaw_Name,Deathclaw
Deathclaw_Name_Plural,Deathclaws
Dojo_Upgrade_Info,Aumenta a velocidade de treinamento de Agilidade
Dweller_AtSurpriseQuest,AGUARDANDO
Dweller_AtTheEntrance,AGUARDANDO
Dweller_Baby,CRIANÇA
Dweller_CoffeeBreak,PAUSA PARA CAFÉ
Dweller_Dead,MORTO
Dweller_DiedInVault,morreu
Dweller_DiedInWasteland,Morreu no Wasteland
Dweller_EmptySlot,Arraste Aqui
Dweller_EmptyTapSlot,Toque Aqui
Dweller_EmptyTapSlot_PC,Clique Aqui
Dweller_EmptyTapSlot_Xbox,Pressione [A]
Dweller_Escaping,FUGINDO
Dweller_InWasteland,EXPLORANDO
Dweller_Last_Name,Sobrenome
Dweller_LeavingVault,Saindo do Vault
Dweller_Name,Nome
Dweller_ReturnedFromWasteland,Voltou do Wasteland
Dweller_ReturningToVault,Voltando do Wasteland
Dweller_ReturningWasteland,RETORNANDO
Dweller_RunToWasteland,Saindo do Vault
Dweller_Shelter,ESCONDIDO
DwellerEquipPanelBonus,BÔNUS
DwellerEquipPanelStats,ATRIBUTOS
Emergency_Aliens,ATAQUE ALIENÍGENA
Emergency_Deathclaw,ATAQUE DE DEATHCLAW
Emergency_Fire,FOGO NA SALA
Emergency_Ghouls,ATAQUE DE FERAL GHOUL
Emergency_Molerat,ATAQUE DE MOLE RAT
Emergency_Radroach,INFESTAÇÃO DE RADROACH
Emergency_Radscorpions,ATAQUE DE RADSCORPION
Emergency_Raiders,ATAQUE DE RAIDERS
Emergency_Scorched,ATAQUE DE CHAMUSCADOS
Encounet_Progression_Creature1,Preciso matar este Cachorro Selvagem antes que ele me mate!
Encounet_Progression_Creature10,"O Yao Guai se aproxima, pronto para atacar."
Encounet_Progression_Creature11,Este Feral Ghoul está transtornado! Está se lançando em minha direção!
Encounet_Progression_Creature12,"O Feral Ghoul se aproxima, pronto para atacar."
Encounet_Progression_Creature13,As antenas da Formiga Gigante estão tremendo. Ela avança para matar!
Encounet_Progression_Creature14,"A Formiga Gigante se aproxima, pronta para atacar."
Encounet_Progression_Creature15,"Não vejo o Catador, mas seu Cachorro está circulando, pronto para morder!"
Encounet_Progression_Creature16,"O Cachorro do Catador se aproxima, pronto para atacar."
Encounet_Progression_Creature17,"A Formiga Operária Gigante vem em minha direção, com as pinças prontas!"
Encounet_Progression_Creature18,"A Formiga Operária Gigante se aproxima, pronta para atacar."
Encounet_Progression_Creature19,"Não sei como vou matar este Radscorpion, mas preciso tentar!"
Encounet_Progression_Creature2,"O Cachorro Selvagem se aproxima, pronto para atacar."
Encounet_Progression_Creature20,"O Radscorpion se aproxima, pronto para atacar."
Encounet_Progression_Creature21,A Formiga Soldado Gigante me vê como uma ameaça! Está atacando!
Encounet_Progression_Creature22,"A Formiga Soldado Gigante se aproxima, pronta para atacar."
Encounet_Progression_Creature23,Uma Formiga de Fogo Soldado? Como se ela pudesse cuspir fogo de verdade. Hora de atacar!
Encounet_Progression_Creature24,"A Formiga de Fogo Soldado se aproxima, pronta para atacar."
Encounet_Progression_Creature25,O Cachorro de Guarda não vai me deixar passar. Terei que matá-lo para seguir!
Encounet_Progression_Creature26,"O Cachorro de Guarda se aproxima, pronto para atacar."
Encounet_Progression_Creature27,"Nunca pensei que teria medo de um inseto, mas esta Formiga de Fogo Guerreira está falando sério!"
Encounet_Progression_Creature28,"A Formiga de Fogo Guerreira se aproxima, pronta para atacar."
Encounet_Progression_Creature29,Este Mirelurk não passa de um bolinho de caranguejo com pernas! Hora do lanche!
Encounet_Progression_Creature3,Um Mole Rat? Está praticamente morto!
Encounet_Progression_Creature30,"O Mirelurk se aproxima, pronto para atacar."
Encounet_Progression_Creature31,Ih! Aquele Feral Ghoul Errante está se arrastando em minha direção!
Encounet_Progression_Creature32,"O Feral Ghoul Errante se aproxima, pronto para atacar."
Encounet_Progression_Creature33,Um Radscorpion Gigante? A sério? Como se os normais não fossem ruins o suficiente! Pode ser o fim!
Encounet_Progression_Creature34,"O Radscorpion Gigante se aproxima, pronto para atacar."
Encounet_Progression_Creature35,Espero conseguir lidar com este Caçador de Mirelurk! Ele está vindo rápido em minha direção!
Encounet_Progression_Creature36,"O Caçador de Mirelurk se aproxima, pronto para atacar."
Encounet_Progression_Creature37,O Cachorro Feroz pegou meu rastro! Não vai parar até um de nós morrer!
Encounet_Progression_Creature38,"O Cachorro Feroz se aproxima, pronto para atacar."
Encounet_Progression_Creature39,O Centauro está se arrastando em minha direção! Acho que não quer um abraço!
Encounet_Progression_Creature4,"O Mole Rat se aproxima, pronto para atacar."
Encounet_Progression_Creature40,"O Centauro se aproxima, pronto para atacar."
Encounet_Progression_Creature41,Este Feral Ghoul Saqueador vai me despedaçar se eu não tiver cuidado!
Encounet_Progression_Creature42,"O Feral Ghoul Saqueador se aproxima, pronto para atacar."
Encounet_Progression_Creature43,Como vou sobreviver contra este Deathclaw?!
Encounet_Progression_Creature44,"O Deathclaw se aproxima, pronto para atacar."
Encounet_Progression_Creature45,Os Deathclaws do Enclave são treinados para matar — esta será uma luta até a morte!
Encounet_Progression_Creature46,"O Deathclaw do Enclave se aproxima, pronto para atacar."
Encounet_Progression_Creature47,Este Super Mutant vê todos os humanos como fracos — com certeza tentará me matar!
Encounet_Progression_Creature48,"O Super Mutant se aproxima, pronto para atacar."
Encounet_Progression_Creature49,Um Super Mutant Mestre! Esse cara não está brincando... mas estou pronto!
Encounet_Progression_Creature5,Hora de esmagar esta Bloatfly como o inseto que é!
Encounet_Progression_Creature50,"O Super Mutant Mestre se aproxima, pronto para atacar."
Encounet_Progression_Creature51,O Super Mutant Overlord é um dos mais fortes de sua espécie! Terei sorte se sobreviver!
Encounet_Progression_Creature52,"O Super Mutant Overlord se aproxima, pronto para atacar."
Encounet_Progression_Creature53,Um Super Mutant Behemoth? Sério? É como lutar contra um prédio!
Encounet_Progression_Creature54,"O Super Mutant Behemoth se aproxima, pronto para atacar."
Encounet_Progression_Creature6,"A Bloatfly se aproxima, pronta para atacar."
Encounet_Progression_Creature7,"Vou esmagar este Radroach, sem problema!"
Encounet_Progression_Creature8,"O Radroach se aproxima, pronto para atacar."
Encounet_Progression_Creature9,O Yao Guai está carregando! Acha que sou o almoço dele!
Encounet_Progression_Location1,Tentando encontrar uma entrada na Torre de Transmissão.
Encounet_Progression_Location10,"Ninguém fez uma refeição aqui há muito, muito tempo."
Encounet_Progression_Location11,"O local parece seguro, mas talvez eu consiga encontrar uma forma de entrar."
Encounet_Progression_Location12,As pessoas aqui estão longe de serem amigáveis. É melhor jogar com cuidado.
Encounet_Progression_Location13,Uma batalha entre um Synth e Super Mutants me prendeu em uma sala com uma Estação de Química.
Encounet_Progression_Location14,Um Deathclaw parece ter feito do Museu a sua casa!
Encounet_Progression_Location15,A maior parte da Usina está alagada. Precisarei nadar debaixo d'água para explorar tudo.
Encounet_Progression_Location16,Encontrei uma porta travada lá dentro. Há um machado que posso usar para arrombá-la.
Encounet_Progression_Location17,Não há nada nos andares principais. Indo para o porão.
Encounet_Progression_Location2,Tentando me esconder dos Raiders.
Encounet_Progression_Location3,Vasculhando o Barraco Abandonado.
Encounet_Progression_Location4,Tentando arrombar a porta da Geladeira.
Encounet_Progression_Location5,Tentando abrir o Cofre.
Encounet_Progression_Location6,Tentando destravar a porta do Super Duper Mart.
Encounet_Progression_Location7,"Os Escravos estão fugindo, após matar seu dono."
Encounet_Progression_Location8,Tentando libertar os Escravos.
Encounet_Progression_Location9,Explorando o Posto de Gasolina.
Encounet_Progression_NPC1,O Escravo Fugitivo foi baleado na perna. Não vai conseguir ir muito longe.
Encounet_Progression_NPC10,"Ele precisa de reparo, mas talvez eu consiga fazer isso."
Encounet_Progression_NPC2,Tentando tratar o Xerife Ferido. Ele está com muita dor.
Encounet_Progression_NPC3,"O Ghoul é feio, mas não é Feral. Na verdade, parece bem amigável."
Encounet_Progression_NPC4,O Comerciante está interessado em negociar.
Encounet_Progression_NPC5,"Os Mercenários da Talon Company estão desconfiados, mas não hostis."
Encounet_Progression_NPC6,O Caçador precisa de ajuda para rastrear um Yao Guai.
Encounet_Progression_NPC7,O Andarilho Bêbado quer compartilhar uma bebida.
Encounet_Progression_NPC8,Tentando convencer a Patrulha da Irmandade de que sou inofensivo.
Encounet_Progression_NPC9,Estou guiando o Fazendeiro Perdido de volta ao assentamento mais próximo.
Encounter_Defeat_Creature1,O Cachorro Selvagem me mordeu na perna! Hora de coxear daqui!
Encounter_Defeat_Creature10,O Radscorpion quase me empalou com seu ferrão! Já chega!
Encounter_Defeat_Creature11,A Formiga Soldado Gigante me feriu! Estou sangrando... e correndo!
Encounter_Defeat_Creature12,A Formiga de Fogo Soldado colocou fogo nas minhas roupas! Não consigo derrotá-la!
Encounter_Defeat_Creature13,O Cachorro de Guarda realmente não quer me deixar passar! Hora de recuar!
Encounter_Defeat_Creature14,A Formiga de Fogo Guerreira me queimou bastante! Hora de correr e me recuperar!
Encounter_Defeat_Creature15,O Mirelurk quase arrancou minha cabeça com suas garras! Estou fugindo!
Encounter_Defeat_Creature16,O Feral Ghoul Errante atacou em frenesi! Tive que correr!
Encounter_Defeat_Creature17,Impossível lutar contra esse Radscorpion Gigante e sobreviver! Hora de ir!
Encounter_Defeat_Creature18,O Caçador de Mirelurk era rápido demais! Era fugir ou morrer!
Encounter_Defeat_Creature19,O Cachorro Feroz me mordeu antes de eu reagir! Estou ferido e fugindo!
Encounter_Defeat_Creature2,O Mole Rat mastigou minha bota! Hora de ir antes de perder um pé!
Encounter_Defeat_Creature20,O Centauro é tão perigoso quanto é feio! É melhor correr!
Encounter_Defeat_Creature21,O Feral Ghoul Saqueador era forte demais! Mal escapei com vida!
Encounter_Defeat_Creature22,Lutar contra um Deathclaw? Devo ter perdido a cabeça! Tenho que correr!
Encounter_Defeat_Creature23,O Deathclaw do Enclave é treinado para matar tudo em seu caminho! Tenho que correr!
Encounter_Defeat_Creature24,Não tem como eu derrotar este Super Mutant! Hora de escapar!
Encounter_Defeat_Creature25,Resulta que lutar contra um Super Mutant Mestre é uma ideia péssima! Tenho que correr!
Encounter_Defeat_Creature26,O Super Mutant Overlord é resistente demais! Tenho que tentar escapar!
Encounter_Defeat_Creature27,Derrotar este Super Mutant Behemoth é impossível! Fugir é a única opção!
Encounter_Defeat_Creature3,Não estava preparado para a picada da Bloatfly! Hora de correr!
Encounter_Defeat_Creature4,O Radroach é rápido demais. Já chega!
Encounter_Defeat_Creature5,Foi loucura enfrentar este Yao Guai! Tomara que eu consiga escapar!
Encounter_Defeat_Creature6,O Feral Ghoul é mais forte do que parece! Estou fora daqui!
Encounter_Defeat_Creature7,A Formiga Gigante me feriu gravemente no braço! Estou correndo!
Encounter_Defeat_Creature8,O Cachorro do Catador é resistente demais! Não consigo derrotá-lo!
Encounter_Defeat_Creature9,A Formiga Operária Gigante é implacável! Não adianta tentar lutar!
Encounter_Defeat_Location1,A entrada da Torre de Transmissão está totalmente barricada. Não há como entrar.
Encounter_Defeat_Location10,Encontrei evidências de Raiders no Restaurante Abandonado. Melhor ir enquanto posso.
Encounter_Defeat_Location11,"Uma janela do segundo andar parecia promissora, mas não consegui alcançá-la."
Encounter_Defeat_Location12,Por acidente insultei um dos comerciantes e tive que sair correndo desviando de tiros.
Encounter_Defeat_Location13,"Misturei os produtos químicos errados e criei uma nuvem de fumaça, mas pelo menos ela escondeu minha fuga."
Encounter_Defeat_Location14,Fugi pelas escadas dos fundos e depois desci por uma janela para segurança.
Encounter_Defeat_Location15,Não consegui prender a respiração por tempo suficiente. Entrei em pânico e voltei.
Encounter_Defeat_Location16,O machado é pesado demais. Não consigo erguê-lo o suficiente para dar uma boa machadada.
Encounter_Defeat_Location17,Um bando de Mirelurks me pegou de surpresa lá embaixo! Mal consegui sair.
Encounter_Defeat_Location2,Os Raiders me viram! Tive que correr.
Encounter_Defeat_Location3,Não há nada no Barraco Abandonado. Hora de seguir em frente.
Encounter_Defeat_Location4,A porta da Geladeira está emperrada. Não consegui abri-la.
Encounter_Defeat_Location5,Simplesmente não tenho habilidade para abrir o Cofre. Nunca saberei o que está dentro...
Encounter_Defeat_Location6,Não consigo arrombar a fechadura. Terei que deixar o Super Duper Mart para trás.
Encounter_Defeat_Location7,Os Escravos não confiam em mim. Fugiram.
Encounter_Defeat_Location8,O Acampamento de Escravos é bem guardado demais. Coitados. Simplesmente não consigo ajudá-los sozinho.
Encounter_Defeat_Location9,O Posto de Gasolina foi completamente saqueado. Até os tanques de fusão estão vazios.
Encounter_Defeat_NPC1,A perna do Escravo está gangrenada. Não há nada que eu possa fazer.
Encounter_Defeat_NPC10,Não. Estava errado. Reparar o Mister Handy é técnico demais para mim.
Encounter_Defeat_NPC2,Muito sangue. Não consigo estancar. Temo que o Xerife não dure muito mais.
Encounter_Defeat_NPC3,Suponho que não sou tão charmoso quanto pensava. O Ghoul se recusa a falar comigo.
Encounter_Defeat_NPC4,Fui longe demais. O Comerciante não gostou do negócio que propus.
Encounter_Defeat_NPC5,Os Mercenários da Talon Company sacaram as armas e mandaram eu ir embora. Fui.
Encounter_Defeat_NPC6,Não consegui localizar o Yao Guai. O Caçador acha que sou completamente incompetente.
Encounter_Defeat_NPC7,O Andarilho Bêbado achou que tomei um gole grande demais. Foi embora com raiva e levou a garrafa.
Encounter_Defeat_NPC8,A Patrulha da Irmandade não confia em mim. Me ordenaram que fosse embora ou abrissem fogo.
Encounter_Defeat_NPC9,Não consegui encontrar o assentamento. Agora o Fazendeiro Perdido está ainda pior do que antes.
Encounter_Defeat_Repeatable_JunkLocation1,Não consigo. Simplesmente não sou forte o suficiente.
Encounter_Defeat_Repeatable_JunkLocation10,Isso só os deixou mais irritados. Me arranhou ao correr por eles em direção à saída.
Encounter_Defeat_Repeatable_JunkLocation11,"Ainda está em movimento, mas estou exausto. De jeito nenhum vou conseguir pegá-lo agora."
Encounter_Defeat_Repeatable_JunkLocation12,Cheguei à linha de árvores mais próxima sem incidentes.
Encounter_Defeat_Repeatable_JunkLocation2,Não deveria ter feito isso! Tive que sair correndo com o prédio desabando atrás de mim.
Encounter_Defeat_Repeatable_JunkLocation3,Não consigo me aproximar o suficiente. A radiação do Lago está me adoecendo.
Encounter_Defeat_Repeatable_JunkLocation4,A segurança da Sala é avançada demais. Não consigo abrir a porta.
Encounter_Defeat_Repeatable_JunkLocation5,Uma armadilha de lâmina que não percebi quase me decapitou. Melhor voltar.
Encounter_Defeat_Repeatable_JunkLocation6,"Não adianta, eles não vão abrir a porta. Acho melhor seguir em frente."
Encounter_Defeat_Repeatable_JunkLocation7,Tropeçai em um cordão de latas de metal. Hora de correr!
Encounter_Defeat_Repeatable_JunkLocation8,"Não sobrou absolutamente nada. Não estou surpreso, mas ainda é decepcionante."
